Disease,Year,Pro_Code,PROVINCE,Week_no,Count,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,lag_30,lag_31,lag_32,lag_33,lag_34,lag_35,lag_36,lag_37,lag_38,lag_39,lag_40,lag_41,lag_42,lag_43,lag_44,lag_45,lag_46,lag_47,lag_48,lag_49,lag_50,lag_51,lag_52
Dengue,2020,BLZ,BELIZE,1,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,2,93,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,3,100,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,4,108,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,5,82,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,6,78,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,7,93,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,8,92,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,9,144,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,10,115,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,11,107,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,12,88,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,13,78,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,14,34,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,15,26,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,16,31,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,17,30,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,18,28,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,19,36,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,20,31,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,21,22,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,22,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,23,20,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,24,35,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,25,42,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,26,44,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,27,28,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,28,31,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,29,27,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,30,24,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,31,21,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,32,36,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,33,38,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,34,22,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,35,23,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,36,27,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,37,33,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,38,40,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,39,42,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,40,49,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,41,33,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,42,52,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,43,47,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,44,39,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,45,45,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,46,55,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,47,39,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,48,31,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0,0
Dengue,2020,BLZ,BELIZE,49,45,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0,0
Dengue,2020,BLZ,BELIZE,50,37,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0,0
Dengue,2020,BLZ,BELIZE,51,42,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0,0
Dengue,2020,BLZ,BELIZE,52,43,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132,0
Dengue,2020,BLZ,BELIZE,53,0,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93,132
Dengue,2021,BLZ,BELIZE,1,37,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100,93
Dengue,2021,BLZ,BELIZE,2,46,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108,100
Dengue,2021,BLZ,BELIZE,3,41,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82,108
Dengue,2021,BLZ,BELIZE,4,32,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78,82
Dengue,2021,BLZ,BELIZE,5,63,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93,78
Dengue,2021,BLZ,BELIZE,6,68,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92,93
Dengue,2021,BLZ,BELIZE,7,63,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144,92
Dengue,2021,BLZ,BELIZE,8,128,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115,144
Dengue,2021,BLZ,BELIZE,9,79,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107,115
Dengue,2021,BLZ,BELIZE,10,53,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88,107
Dengue,2021,BLZ,BELIZE,11,57,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78,88
Dengue,2021,BLZ,BELIZE,12,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34,78
Dengue,2021,BLZ,BELIZE,13,54,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26,34
Dengue,2021,BLZ,BELIZE,14,80,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31,26
Dengue,2021,BLZ,BELIZE,15,68,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30,31
Dengue,2021,BLZ,BELIZE,16,69,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28,30
Dengue,2021,BLZ,BELIZE,17,68,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36,28
Dengue,2021,BLZ,BELIZE,18,54,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31,36
Dengue,2021,BLZ,BELIZE,19,40,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22,31
Dengue,2021,BLZ,BELIZE,20,39,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20,22
Dengue,2021,BLZ,BELIZE,21,9,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20,20
Dengue,2021,BLZ,BELIZE,22,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35,20
Dengue,2021,BLZ,BELIZE,23,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42,35
Dengue,2021,BLZ,BELIZE,24,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44,42
Dengue,2021,BLZ,BELIZE,25,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28,44
Dengue,2021,BLZ,BELIZE,26,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31,28
Dengue,2021,BLZ,BELIZE,27,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27,31
Dengue,2021,BLZ,BELIZE,28,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24,27
Dengue,2021,BLZ,BELIZE,29,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21,24
Dengue,2021,BLZ,BELIZE,30,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36,21
Dengue,2021,BLZ,BELIZE,31,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38,36
Dengue,2021,BLZ,BELIZE,32,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22,38
Dengue,2021,BLZ,BELIZE,33,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23,22
Dengue,2021,BLZ,BELIZE,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27,23
Dengue,2021,BLZ,BELIZE,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33,27
Dengue,2021,BLZ,BELIZE,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40,33
Dengue,2021,BLZ,BELIZE,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42,40
Dengue,2021,BLZ,BELIZE,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49,42
Dengue,2021,BLZ,BELIZE,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33,49
Dengue,2021,BLZ,BELIZE,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52,33
Dengue,2021,BLZ,BELIZE,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47,52
Dengue,2021,BLZ,BELIZE,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39,47
Dengue,2021,BLZ,BELIZE,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45,39
Dengue,2021,BLZ,BELIZE,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55,45
Dengue,2021,BLZ,BELIZE,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39,55
Dengue,2021,BLZ,BELIZE,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31,39
Dengue,2021,BLZ,BELIZE,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45,31
Dengue,2021,BLZ,BELIZE,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37,45
Dengue,2021,BLZ,BELIZE,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42,37
Dengue,2021,BLZ,BELIZE,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43,42
Dengue,2021,BLZ,BELIZE,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0,43
Dengue,2021,BLZ,BELIZE,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37,0
Dengue,2022,BLZ,BELIZE,1,83,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,40,54,68,69,68,80,54,54,57,53,79,128,63,68,63,32,41,46,37
